municipality,ibge_tipo,geo_class,geo4,cd_gcmun
SERRA AZUL,Urbano,Urbano,Urbano,3551405
SAO JOAQUIM DA BARRA,Urbano,Urbano,Urbano,3549409
TAQUARIVAI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3553856
ANGATUBA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3502200
ITABERA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3521705
MONTE ALEGRE DO SUL,Urbano,Urbano,Urbano,3531209
APIAI,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3502705
SERRA NEGRA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3551603
BARRA DO CHAPEU,RuralAdjacente,RuralAdjacente,RuralAdjacente,3505351
SARUTAIA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3551207
RIBEIRA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3542800
RIVERSUL,RuralAdjacente,RuralAdjacente,RuralAdjacente,3543501
IPEUNA,Urbano,Urbano,Urbano,3521101
TABATINGA,Urbano,Urbano,Urbano,3552700
REGISTRO,Urbano,Urbano,Urbano,3542602
BORBOREMA,Urbano,Urbano,Urbano,3507407
IBATE,Urbano,Urbano,Urbano,3519303
IBITINGA,Urbano,Urbano,Urbano,3519600
NOVA EUROPA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3532900
SANTANA DA PONTE PENSA,Urbano,Urbano,Urbano,3547205
PEDRANOPOLIS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3536901
PARANAPUA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3535903
BOA ESPERANCA DO SUL,Urbano,Urbano,Urbano,3506706
IGUAPE,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3520301
PEDRO DE TOLEDO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3537206
ELDORADO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3514809
SETE BARRAS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3551801
ITARIRI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3523305
CAJATI,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3509254
PARIQUERA-ACU,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3536208
CANANEIA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3509908
JACUPIRANGA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3524600
BARRA DO TURVO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3505401
IRACEMAPOLIS,Urbano,Urbano,Urbano,3521408
LUCELIA,Urbano,Urbano,Urbano,3527405
IACRI,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3519204
AGUAS DE LINDOIA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3500501
IPORANGA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3521200
GALIA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3516606
LINDOIA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3527009
JOANOPOLIS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3525508
SAO JOAO DO PAU D'ALHO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3549300
VINHEDO,Urbano,Urbano,Urbano,3556701
AMPARO,Urbano,Urbano,Urbano,3501905
GUAREI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3518503
MORUNGABA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3532009
PRESIDENTE ALVES,RuralAdjacente,RuralAdjacente,RuralAdjacente,3541109
DIVINOLANDIA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3513900
HOLAMBRA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3519055
PEDRA BELA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3536802
ELIAS FAUSTO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3514908
SANTA MARIA DA SERRA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3547007
VARGEM,RuralAdjacente,RuralAdjacente,RuralAdjacente,3556354
PIRAPORA DO BOM JESUS,Urbano,Urbano,Urbano,3539103
CAMPO LIMPO PAULISTA,Urbano,Urbano,Urbano,3509601
ITATINGA,Urbano,Urbano,Urbano,3523503
PARDINHO,RuralAdjacente,RuralAdjacente,RuralAdjacente,3536109
ITAPORANGA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3522802
BOFETE,RuralAdjacente,RuralAdjacente,RuralAdjacente,3506904
AREIOPOLIS,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3503604
FARTURA,Urbano,Urbano,Urbano,3515400
PACAEMBU,Urbano,Urbano,Urbano,3534906
PAULICEIA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3536406
CAIUA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3509106
PIRAJU,Urbano,Urbano,Urbano,3538808
TEJUPA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3554201
AGUAS DE SANTA BARBARA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3500550
PEREIRAS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3537503
